FID	IID	PC1	PC2
W080	W080	0.0382595	-0.0233414
W081	W081	-0.0340068	0.0370435
W082	W082	-0.0701338	-0.0138219
W083	W083	0.0342406	-0.0125215
W084	W084	0.0324633	-0.00719722
W085	W085	0.0318129	-0.0184569
W086	W086	0.0344811	-0.0226808
W087	W087	0.0317688	-0.0221517
W088	W088	-0.0584766	-0.0167353
W089	W089	0.0308523	-0.00802507
W090	W090	0.0151152	0.150507
W091	W091	0.00148339	0.127963
W092	W092	0.00523937	0.128012
W093	W093	0.0309392	-0.00826992
W094	W094	0.0159446	0.15105
W095	W095	0.0162501	0.152974
W097	W097	-0.00899318	0.0455515
W098	W098	0.0151854	0.147478
W099	W099	-0.00238797	0.118435
W100	W100	0.0135229	0.148889
W101	W101	0.0347473	0.0158965
W102	W102	-0.0525616	-0.0020059
W103	W103	0.0116822	0.148877
W104	W104	0.0158443	0.152584
W105	W105	-0.00201068	0.125351
W106	W106	0.015865	0.145018
W107	W107	0.0250523	0.0759448
W108	W108	0.0147178	0.150864
W110	W110	-0.053734	-0.00250588
W111	W111	0.0326094	-0.00940406
W112	W112	0.0332144	0.00602051
W113	W113	-0.0530857	-0.00267394
W114	W114	0.0329078	-0.0113465
W115	W115	0.0104275	0.126815
W116	W116	-0.05817	-0.00256383
W117	W117	-0.0715525	-0.0163493
W118	W118	-0.0553721	-0.00396628
W119	W119	-0.0516672	-0.00313039
W120	W120	-0.0671894	-0.0113861
W121	W121	0.0114037	0.129275
W122	W122	-0.0592595	-0.00246093
W123	W123	-0.0574507	-0.00295803
W124	W124	0.0366796	-0.0176967
W125	W125	-0.0257038	-0.0173332
W126	W126	0.0381221	-0.0206214
W127	W127	-0.0577767	-0.00561295
W128	W128	-0.0293691	0.0137133
W129	W129	-0.0373315	0.0340071
W130	W130	-0.0693996	-0.0124458
W131	W131	0.0156745	0.101805
W132	W132	0.0336728	-0.01544
W133	W133	0.0372087	-0.0196882
W134	W134	0.0151291	0.151953
W135	W135	0.0243579	0.0542973
W136	W136	-0.0148659	0.0583474
W137	W137	0.029581	-0.0111846
W138	W138	0.0374035	-0.0194518
W139	W139	-0.070366	-0.0138266
W140	W140	0.00522764	0.124685
W142	W142	0.0156963	0.143157
W143	W143	-0.0596034	-0.00454563
W145	W145	0.0345947	-0.0110269
W146	W146	0.0332992	-0.0152432
W147	W147	0.0372402	-0.0226645
W148	W148	0.0367465	-0.0181631
W149	W149	0.035082	-0.020784
W150	W150	0.0245987	-0.0208371
W151	W151	0.0253572	-0.0212938
W152	W152	0.0318914	-0.0191003
W153	W153	0.0293627	-0.016697
W154	W154	0.0363806	-0.0255619
W155	W155	0.0333277	-0.0250195
W156	W156	0.0346531	-0.0244945
W157	W157	0.0322705	-0.021978
W158	W158	-0.0101374	-0.0192079
W159	W159	0.0305653	-0.014362
W160	W160	-0.0704925	-0.0166324
W161	W161	0.0172775	-0.0175629
W162	W162	-0.0650894	-0.0175475
W163	W163	0.036246	-0.0229341
W164	W164	0.0343312	-0.0220993
W165	W165	0.0352353	-0.0230943
W166	W166	0.0333519	-0.0212432
W167	W167	0.0337379	-0.0217758
W168	W168	0.0369012	-0.0153958
W169	W169	0.033842	-0.0117852
W170	W170	0.0345191	-0.0245961
W171	W171	0.0339037	0.00358302
W172	W172	0.0381289	-0.0206469
W173	W173	-0.0382433	-0.00310694
W174	W174	0.0314699	-0.0200954
W175	W175	-0.00460703	-0.0193515
W176	W176	0.0237178	-0.0258438
W177	W177	0.023831	-0.026071
W178	W178	0.035054	-0.0116527
W179	W179	0.0342304	-0.00825134
W180	W180	0.0349829	-0.0166957
W181	W181	0.0375059	-0.0216053
W182	W182	0.036229	-0.0119016
W183	W183	0.0344953	-0.0161998
W184	W184	0.0336364	-0.0107943
W185	W185	0.0346144	-0.0146631
W186	W186	0.0355389	-0.0233218
W187	W187	0.0352808	-0.022997
W188	W188	0.0355379	-0.0157925
W189	W189	0.0350621	-0.0168466
W190	W190	-0.046494	-0.010965
W191	W191	0.00493344	0.0125282
W192	W192	0.00517376	0.0124031
W193	W193	-0.0683739	-0.0156813
W194	W194	0.0342355	-0.0169747
W195	W195	0.0276253	-0.0167889
W196	W196	-0.00564042	0.00883559
W197	W197	0.0340956	-0.0140769
W198	W198	0.0348431	-0.0132131
W199	W199	0.0345979	-0.0165297
W200	W200	0.036695	-0.0202771
W201	W201	0.0366144	-0.0201985
W202	W202	0.0366937	-0.0202054
W203	W203	0.0357672	-0.0149685
W204	W204	0.0392087	-0.0242515
W205	W205	0.0392076	-0.024178
W206	W206	0.0347685	-0.0165744
W207	W207	-0.0710389	-0.0157569
W208	W208	-0.0517006	-0.0157247
W209	W209	-0.0688143	-0.0142033
W210	W210	0.0374401	-0.0201095
W211	W211	0.0335629	-0.00866629
W212	W212	0.0331698	-0.0138002
W213	W213	0.0309592	-0.0110793
W214	W214	0.0143123	0.147939
W215	W215	0.0143347	0.147465
W216	W216	0.0318257	-0.0246836
W217	W217	0.0281944	-0.0129973
W218	W218	0.0277858	-0.012927
W219	W219	-0.0359869	0.0359081
W220	W220	-0.0357528	0.0355871
W221	W221	0.0343693	-0.0114704
W222	W222	0.0365319	-0.0199005
W223	W223	0.0353406	-0.0201036
W224	W224	0.0344307	-0.0131005
W225	W225	-0.0531864	-0.00417808
W226	W226	-0.0653509	-0.0117036
W227	W227	0.0372128	-0.0193109
W228	W228	0.0351407	-0.0154778
W229	W229	0.0343655	-0.0196076
W230	W230	0.0371419	-0.0201221
W231	W231	0.0366943	-0.021997
W232	W232	-0.0352606	-0.0163354
W233	W233	0.0368708	-0.0249091
W234	W234	0.0366964	-0.0248858
W235	W235	0.037185	-0.0204374
W236	W236	0.0187222	-0.0128143
W237	W237	0.0332634	-0.0157704
W238	W238	0.0343795	-0.0171706
W239	W239	0.0352568	-0.0144843
W240	W240	0.0316505	-0.0213861
W241	W241	0.0370061	-0.016957
W242	W242	0.0369931	-0.0224791
W243	W243	0.0180402	-0.0123728
W244	W244	0.018323	-0.0123658
W245	W245	0.0249222	-0.00842748
W246	W246	0.0340926	-0.0134935
W247	W247	0.0376055	-0.0202005
W248	W248	0.0349018	-0.0208832
W249	W249	-0.0680876	-0.0136969
W250	W250	-0.0681677	-0.0138107
W251	W251	-0.0571747	-0.00497583
W252	W252	-0.0378731	0.028902
W253	W253	-0.0568901	-0.00353274
W254	W254	-0.0575072	-0.0034887
W255	W255	-0.039629	0.0282171
W256	W256	-0.0347795	0.0359504
W257	W257	-0.0495117	0.00750457
W258	W258	-0.0354225	0.0344086
W259	W259	0.0190976	-0.0127327
W260	W260	-0.0586014	-0.0045567
W261	W261	-0.0294675	0.0435829
W262	W262	0.0370778	-0.0256648
W263	W263	0.0355637	-0.0170843
W264	W264	0.035056	-0.0169226
W265	W265	0.0354517	-0.0170313
W266	W266	0.032346	-0.0149459
W267	W267	0.0360918	-0.020985
W268	W268	0.0359848	-0.0224489
W269	W269	0.0352953	-0.0139224
W270	W270	0.0371211	-0.0220081
W271	W271	0.036992	-0.0205314
W272	W272	0.0310759	-0.0125902
W273	W273	-0.0559051	-0.00240688
W274	W274	0.0379745	-0.025239
W275	W275	-0.0527505	-0.000540789
W276	W276	0.0335407	0.0102099
W277	W277	0.0166152	0.157068
W278	W278	0.0170294	0.154464
W279	W279	0.0164907	0.148281
W280	W280	0.0133007	0.150493
W281	W281	-0.0627941	-0.00500592
W282	W282	0.0312912	-0.0138642
W283	W283	-0.0707186	-0.0151436
W284	W284	-0.0527682	-0.00123891
W285	W285	-0.0536317	-0.00268446
W286	W286	0.0181994	0.140698
W287	W287	0.014859	0.148689
W288	W288	-0.0576373	-0.00352884
W289	W289	0.0354934	-0.0245168
W290	W290	-0.0723989	-0.0168401
W291	W291	0.0334603	-0.00582422
W292	W292	0.0141646	0.148655
W293	W293	0.0380182	-0.0264583
W294	W294	-0.00496454	-0.00545362
W295	W295	0.0365182	-0.0151482
W296	W296	0.0172794	0.127695
W297	W297	0.0179001	0.128736
W298	W298	0.0336527	-0.00612386
W299	W299	0.0337614	-0.0177654
W300	W300	-0.0535608	-0.00223414
W301	W301	0.0366399	-0.0166634
W302	W302	-0.0468556	-0.00403348
W303	W303	-0.0561215	-0.00408694
W304	W304	-0.0205919	-0.00427474
W305	W305	-0.0721411	-0.0171284
W306	W306	-0.0100996	0.0376893
W307	W307	0.0328802	-0.0121768
W308	W308	0.0342826	-0.0164021
W309	W309	0.0349932	-0.0185045
W310	W310	0.0366102	-0.0129449
W311	W311	0.037409	-0.0210562
W312	W312	0.0365077	-0.0121077
W313	W313	0.0349134	-0.0161696
W314	W314	0.0356021	-0.013877
W315	W315	0.0362994	-0.0122391
W316	W316	0.0303902	-0.0114218
W317	W317	0.0368739	-0.0123
W318	W318	0.031323	-0.0203977
W319	W319	-0.0679631	-0.0135052
W320	W320	0.034919	-0.0128319
W321	W321	0.0354286	-0.0141388
W322	W322	0.0315344	-0.025762
W323	W323	-0.0614286	-0.00712757
W324	W324	-0.063785	-0.00940366
W325	W325	-0.0661451	-0.0132418
W326	W326	-0.063999	-0.0093607
W327	W327	-0.0709767	-0.0159953
W328	W328	-0.0246414	-0.0185062
W329	W329	-0.0443667	-0.00833659
W330	W330	0.0184555	0.1428
